id;r3;r4;r5;r6;r7;r8;r9;r10;r11;note;user_id;tanaman_id;entry_id;catatan_dinas;catatan_BPS;status;status_tanaman
1;22;0;30;52;30;22;0;4;10000;;199811052021041001;123901000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
2;75;0;10;85;35;50;0;5;10000;;199811052021041001;123904000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
3;15;0;0;15;0;15;0;3;5000;;199811052021041001;123905000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
4;219;5;21;235;70;165;0;90;20000;;199811052021041001;131100000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
5;360;25;10;345;30;315;0;170;4000;;199811052021041001;131201000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
6;68;0;15;83;45;38;0;55;6000;;199811052021041001;131600000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
7;370;53;65;382;65;317;0;165;5000;;199811052021041001;131701000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
8;18;0;25;43;25;18;0;1;3000;;199811052021041001;131800000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
9;80;0;15;95;30;65;0;50;8000;;199811052021041001;131901000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
10;25;0;10;35;10;25;0;7;6000;;199811052021041001;131902000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
11;80;0;45;125;55;70;0;50;5000;;199811052021041001;131903000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
12;687;0;50;737;50;200;0;25;10000;;199811052021041001;131904000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
13;80;0;35;115;55;60;0;30;5000;;199811052021041001;131905001;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
14;110;15;20;115;55;60;0;60;5000;;199811052021041001;131905002;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
15;42;0;18;60;18;42;0;10;5000;;199811052021041001;131911000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
16;19;5;20;34;20;14;0;2;5000;;199811052021041001;131913000;3f29065b-7893-44e9-b5cd-dc60b43c5e23;;;6;0
17;100;0;0;100;0;100;0;50;15000;;199811052021041001;123901000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
18;100;0;0;100;0;100;0;50;20000;;199811052021041001;123904000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
19;50;0;0;50;0;50;0;10;25000;;199811052021041001;123905000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
20;558;0;0;558;50;508;0;50;25000;;199811052021041001;131100000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
21;2451;0;0;2451;50;2401;0;100;5000;;199811052021041001;131201000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
22;360;0;0;360;10;350;0;50;20000;;199811052021041001;131600000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
23;310;0;0;310;10;300;0;50;5000;;199811052021041001;131701000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
24;70;0;0;70;50;20;0;2;5000;;199811052021041001;131800000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
25;46;0;0;46;10;36;0;4;10000;;199811052021041001;131901000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
26;50;0;0;50;0;50;0;5;10000;;199811052021041001;131902000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
27;110;0;0;110;10;100;0;50;10000;;199811052021041001;131903000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
28;840;0;0;840;50;750;0;100;20000;;199811052021041001;131904000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
29;100;0;0;100;0;100;0;10;10000;;199811052021041001;131905001;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
30;20;0;0;20;10;10;0;2;10000;;199811052021041001;131905002;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
31;50;0;0;50;0;50;0;5;10000;;199811052021041001;131906000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
32;100;0;0;100;0;100;0;100;10000;;199811052021041001;131907000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
33;100;0;0;100;0;100;0;10;5000;;199811052021041001;131911000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
34;20;0;0;20;0;20;0;5;10000;;199811052021041001;131913000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
35;110;0;0;110;10;100;0;50;20000;;199811052021041001;131914000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db3;;;6;0
