id;r3;r4;r5;r6;r7;r8;r9;r10;r11;note;user_id;tanaman_id;entry_id;catatan_dinas;catatan_BPS;status;status_tanaman
1;10;0;0;0;0;10;0;0;0;;199811052021041001;165700000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;;;6;0
2;5;0;0;0;0;5;0;0;0;;199811052021041001;169001001;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;;;6;0
3;5;0;0;0;0;5;0;0;0;;199811052021041001;169001002;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;;;6;0
4;5;0;0;0;0;5;0;0;0;;199811052021041001;169001003;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;;;6;0
5;1;0;0;0;0;1;0;0;0;;199811052021041001;193004020;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db1;;;6;0
6;1000;0;260;0;0;1000;0;1300;4000;;199811052021041001;132202000;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
7;1200;1200;0;0;1500;1500;1700;0;15000;;199811052021041001;165700000;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
8;600;600;0;0;850;850;600;0;8000;;199811052021041001;169001001;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
9;750;750;0;0;2700;2700;2750;0;1500;;199811052021041001;169001002;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
10;800;0;800;0;0;800;0;800;4500;;199811052021041001;169001003;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
11;1100;0;360;0;0;1100;0;1100;3500;;199811052021041001;193004020;8b4fb108-19b7-45f7-b25b-9e71a5f348a1;;;6;0
12;10000;0;0;0;0;10000;0;0;0;;199811052021041001;165302000;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f1;;;6;0
13;500;0;0;0;0;500;0;0;0;;199811052021041001;165700000;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f1;;;6;0
14;300;0;0;0;0;300;0;0;0;;199811052021041001;169001002;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f1;;;6;0
15;115;50;0;0;25;90;250;0;20000;;199811052021041001;165700000;e1a08f64-40e3-4888-9da2-74cfb4f62321;;;6;0
16;105;50;0;0;25;80;50;0;25000;;199811052021041001;169001001;e1a08f64-40e3-4888-9da2-74cfb4f62321;;;6;0
17;100;50;0;0;50;100;150;0;8000;;199811052021041001;169001002;e1a08f64-40e3-4888-9da2-74cfb4f62321;;;6;0
18;100;50;0;0;50;100;250;0;8000;;199811052021041001;169001003;e1a08f64-40e3-4888-9da2-74cfb4f62321;;;6;0
19;100;50;0;0;25;75;150;0;2000;;199811052021041001;193004020;e1a08f64-40e3-4888-9da2-74cfb4f62321;;;6;0
20;7;0;2;0;0;7;0;10;3000;;199811052021041001;132202000;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
21;5;0;5;0;10;15;0;10;6000;;199811052021041001;165700000;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
22;3;0;3;0;0;3;0;8;5000;;199811052021041001;169001001;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
23;3;3;0;0;12;12;5;0;4000;;199811052021041001;169001002;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
24;3;3;0;0;5;5;6;0;3000;;199811052021041001;169001003;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
25;2;0;2;0;0;2;0;8;2000;;199811052021041001;193001011;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
26;1;0;1;0;0;1;0;12;1000;;199811052021041001;193001012;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
27;4;0;3;0;0;4;0;10;3000;;199811052021041001;193004020;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
28;2;0;2;0;0;2;0;2;2000;;199811052021041001;193004024;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f1;;;6;0
29;500;25;0;0;50;525;150;0;4000;;199811052021041001;169001001;4e028e62-b477-4a1c-91c2-8100a67b0a61;;;6;0
30;100;25;0;0;50;125;37;0;10000;;199811052021041001;169001002;4e028e62-b477-4a1c-91c2-8100a67b0a61;;;6;0
31;130;0;60;0;0;130;0;300;3000;;199811052021041001;132202000;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
32;160;20;140;0;20;160;15;400;5000;;199811052021041001;165700000;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
33;240;15;225;0;20;245;20;350;4000;;199811052021041001;169001002;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
34;60;0;60;0;0;60;0;250;4000;;199811052021041001;169001003;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
35;20;0;20;0;0;20;0;15;2000;;199811052021041001;193001011;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
36;220;15;50;0;10;215;45;155;3000;;199811052021041001;193004020;3f29065b-7893-44e9-b5cd-dc60b43c5e21;;;6;0
37;1000;0;0;0;0;1000;0;0;0;;199811052021041001;132202000;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
38;1200;0;0;0;0;1200;0;0;0;;199811052021041001;165700000;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
39;600;0;0;0;0;600;0;0;0;;199811052021041001;169001001;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
40;750;0;0;0;0;750;0;0;0;;199811052021041001;169001002;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
41;800;0;0;0;0;800;0;0;0;;199811052021041001;169001003;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
42;1100;0;0;0;0;1100;0;0;0;;199811052021041001;193004020;8b4fb108-19b7-45f7-b25b-9e71a5f348a2;;;6;0
43;10;0;0;0;0;10;0;0;0;;199811052021041001;165700000;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;;;6;0
44;5;0;0;0;0;5;0;0;0;;199811052021041001;169001001;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;;;6;0
45;5;0;0;0;0;5;0;0;0;;199811052021041001;169001002;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;;;6;0
46;5;0;0;0;0;5;0;0;0;;199811052021041001;169001003;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;;;6;0
47;1;0;0;0;0;1;0;0;0;;199811052021041001;193004020;c4a7ae40-d161-4c4d-aa35-6e5e3a5d1db2;;;6;0
48;15;8;0;0;0;7;40;0;3000;;199811052021041001;132202000;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
49;10;5;0;0;0;5;10;0;6000;;199811052021041001;165700000;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
50;6;3;0;0;0;3;10;0;5000;;199811052021041001;169001001;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
51;6;3;0;0;0;3;8;0;4000;;199811052021041001;169001002;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
52;6;3;0;0;0;3;4;0;3000;;199811052021041001;169001003;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
53;5;3;0;0;0;2;5;0;2000;;199811052021041001;193001011;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
54;2;1;0;0;0;1;12;0;1000;;199811052021041001;193001012;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
55;8;4;0;0;0;4;12;0;3000;;199811052021041001;193004020;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
56;4;2;0;0;0;2;2;0;2000;;199811052021041001;193004024;9977b6ab-5e0f-4e06-b8e2-41c6a2c947f2;;;6;0
57;475;0;0;0;25;500;0;0;0;;199811052021041001;169001001;4e028e62-b477-4a1c-91c2-8100a67b0a62;;;6;0
58;125;50;0;0;25;100;75;0;10000;;199811052021041001;169001002;4e028e62-b477-4a1c-91c2-8100a67b0a62;;;6;0
59;10000;0;0;0;0;10000;0;0;0;;199811052021041001;165302000;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f2;;;6;0
60;500;0;0;0;0;500;0;0;0;;199811052021041001;165700000;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f2;;;6;0
61;300;0;0;0;0;300;0;0;0;;199811052021041001;169001002;8e372d8e-2aef-4cd7-bd22-0e1f83f1e0f2;;;6;0
62;100;0;0;0;15;115;0;0;0;;199811052021041001;165700000;e1a08f64-40e3-4888-9da2-74cfb4f62322;;;6;0
63;100;0;0;0;5;105;0;0;0;;199811052021041001;169001001;e1a08f64-40e3-4888-9da2-74cfb4f62322;;;6;0
64;100;0;0;0;0;100;0;0;0;;199811052021041001;169001002;e1a08f64-40e3-4888-9da2-74cfb4f62322;;;6;0
65;100;0;0;0;0;100;0;0;0;;199811052021041001;169001003;e1a08f64-40e3-4888-9da2-74cfb4f62322;;;6;0
66;100;0;0;0;0;100;0;0;0;;199811052021041001;193004020;e1a08f64-40e3-4888-9da2-74cfb4f62322;;;6;0
67;170;40;30;0;0;130;200;150;3000;;199811052021041001;132202000;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
68;120;10;110;0;50;160;10;350;5000;;199811052021041001;165700000;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
69;205;15;190;0;50;240;20;250;4000;;199811052021041001;169001002;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
70;60;0;60;0;0;60;0;300;4000;;199811052021041001;169001003;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
71;20;0;20;0;0;20;0;30;2000;;199811052021041001;193001011;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
72;205;0;80;0;15;220;0;250;3000;;199811052021041001;193004020;3f29065b-7893-44e9-b5cd-dc60b43c5e22;;;6;0
