id;r4;r5;r6;r7;r8;r9;r10;r11;r12;note;user_id;tanaman_id;entry_id;catatan_dinas;catatan_BPS;status;status_tanaman
1;1;1;0;0;1;1;6.3;0;4000;Bayam;199811052021041001;121500000;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
2;1;1;0;0;1;1;8.2;0;4000;Kangkung;199811052021041001;121901000;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
3;1;0;0;0;0;1;0;0;0;Cabai Keriting;199811052021041001;123101015;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
4;1;0;0;0;0;1;0;0;0;Mentimun;199811052021041001;123200000;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
5;1;0;0;0;0;1;0;0;0;Terung;199811052021041001;123300000;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
6;1;0;0;0;0;1;0;0;0;Kacang Panjang;199811052021041001;124101000;b4c3c1b9-d62b-42cb-9cda-57c0e5f93a56;;;6;0
7;1;1;0;0;1;1;5;0;1500;Kangkung;199811052021041001;121901000;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
8;1;0;1;0;0;1;0;5;10000;Cabai Rawit;199811052021041001;123102000;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
9;1;1;0;0;1;1;5;0;3000;Mentimun;199811052021041001;123200000;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
10;1;0;1;0;0;1;0;5;3000;Terung;199811052021041001;123300000;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
11;1;1;0;0;1;1;5;0;1500;Kacang Panjang;199811052021041001;124101000;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
12;30;0;30;0;0;30;0;2;20000;Jamur Tiram;199811052021041001;127000006;da488b5a-29a7-4754-a9ed-7cf96be0ff56;;;6;0
13;0.1;0;0;0;0;0.1;0;0;0;Terung;199811052021041001;123300000;a7d413e7-96e2-4b76-b9fb-0e586b76d86d;;;6;0
14;0.25;0;0;0;0;0.25;0;0;0;Kacang Panjang;199811052021041001;124101000;a7d413e7-96e2-4b76-b9fb-0e586b76d86d;;;6;0
15;25;25;0;0;25;25;6;0;2500;Jamur Tiram;199811052021041001;127000006;a7d413e7-96e2-4b76-b9fb-0e586b76d86d;;;6;0
16;0.5;0.5;0;0;0.5;0.5;0.5;0;2000;Bayam;199811052021041001;121500000;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
17;0.5;0.5;0;0;0.5;0.5;1;0;1500;Kangkung;199811052021041001;121901000;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
18;0;0;0;0;0.1;0.1;0;0;0;Cabai Keriting;199811052021041001;123101015;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
19;0;0;0;0;0.1;0.1;0;0;0;Cabai Rawit;199811052021041001;123102000;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
20;0.25;0.25;0;0;0.25;0.25;0.25;0;2500;Mentimun;199811052021041001;123200000;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
21;1;0.25;0;0;0;0.75;0.25;0;5000;Terung;199811052021041001;123300000;89d29c9a-2a4d-4994-9d52-d7429c48e998;;;6;0
